name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Kv_atpA_trimmed,78.31,769,767,0.096090,2.673552,0.090094,2.505321
Kv_atpB_trimmed,76.59,371,369,-0.524533,11.834693,-0.687994,18.210878
Kv_atpH_trimmed,21.67,114,112,0.083735,0.889293,0.025039,0.265070
Kv_atpI_trimmed,80.26,233,231,-0.342288,5.536784,-0.443390,7.518386
Kv_clpC_trimmed,68.36,533,531,-0.070141,1.620275,-0.105836,2.452596
Kv_petA_trimmed,66.22,570,568,-0.700483,23.392411,-0.198856,4.835865
Kv_petB_trimmed,74.44,240,238,-0.652298,13.276581,-0.731008,16.526892
Kv_petD_trimmed,62.69,264,262,-0.573249,11.324204,-0.434759,7.814344
Kv_psaA_trimmed,73.86,422,420,-0.797259,27.067489,-0.683932,19.212539
Kv_psaB_trimmed,88.37,294,292,-0.815405,24.069573,-0.675339,15.647547
Kv_psbA_trimmed,100.00,724,722,-0.451013,13.578161,-0.765236,31.940885
Kv_psbB_trimmed,100.00,1310,1308,-0.007377,0.266796,-0.181410,6.671614
Kv_psbC_trimmed,100.00,539,537,-0.555418,15.477753,-0.550708,15.289017
Kv_psbD_trimmed,61.14,234,232,-0.101533,1.554546,-0.211920,3.302892
Kv_psbE_trimmed,64.49,144,142,-0.155406,1.874656,-0.098404,1.178333
Kv_psbF_trimmed,100.00,41,39,-0.253588,1.637169,0.081633,0.511507
Kv_psbH_trimmed,70.86,138,136,-0.766688,13.926420,-0.434622,5.627850
Kv_psbI_trimmed,67.83,51,49,-0.805168,9.503768,-0.679382,6.481016
Kv_psbN_trimmed,51.85,74,72,-0.394427,3.642104,-0.299695,2.665521
Kv_psbT_trimmed,45.16,42,40,-0.836774,9.665316,-0.562340,4.301029
Kv_psbV_trimmed,83.10,311,309,0.156187,2.779638,-0.312105,5.774771
Kv_rpl14_trimmed,72.68,270,268,-0.276874,4.717026,-0.429263,7.780668
Kv_rpl16_trimmed,71.90,188,186,-0.893363,27.115264,-0.885440,25.983149
Kv_rpl20_trimmed,70.32,197,195,0.181643,2.579409,-0.202802,2.892074
Kv_rpl27_trimmed,49.16,174,172,0.089285,1.175658,-0.598542,9.798891
Kv_rpl31_trimmed,61.03,144,142,0.638076,9.875096,-0.363083,4.643516
Kv_rpl36_trimmed,100.00,319,317,-0.911329,39.413676,0.876793,32.463943
Kv_rpl3_trimmed,88.83,549,547,-0.447986,11.719284,-0.392553,9.982332
Kv_rpl5_trimmed,58.70,486,484,0.579871,15.658556,0.014157,0.311478
Kv_rpl6_trimmed,83.02,423,421,-0.186974,3.905259,0.219310,4.612154
Kv_rpoA_trimmed,65.93,481,479,-0.407859,9.776563,-0.216970,4.864492
Kv_rpoB_trimmed,55.40,187,185,0.163431,2.253196,-0.588868,9.909905
Kv_rpoC1_trimmed,87.85,351,349,-0.267344,5.183049,-0.625028,14.958285
Kv_rpoC2_trimmed,79.12,606,604,0.038110,0.937292,0.388432,10.359740
Kv_rps11_trimmed,40.45,71,69,0.629884,6.736559,0.282839,2.449451
Kv_rps13_trimmed,63.98,196,194,0.165155,2.332378,-0.016236,0.226169
Kv_rps14_trimmed,100.00,240,238,-0.582035,11.042302,-0.655058,13.374829
Kv_rps16_trimmed,58.95,142,140,-0.312667,3.894806,-0.257803,3.157088
Kv_rps19_trimmed,53.67,78,76,-0.350185,3.259216,-0.129046,1.134486
Kv_rps2_trimmed,76.02,608,606,-0.399171,10.717265,0.182054,4.557798
Kv_rps3_trimmed,81.80,477,475,-0.328124,7.570425,-0.322963,7.437374
Kv_rps4_trimmed,88.55,461,459,-0.268543,5.972723,-0.683731,20.073654
Kv_rps5_trimmed,88.61,349,347,-0.484638,10.320860,0.004342,0.080883
Kv_rps7_trimmed,63.29,226,224,-0.209970,3.214191,-0.100460,1.511192
Kv_rps8_trimmed,80.58,344,342,-0.582285,13.245419,0.012380,0.228958
Kv_secY_trimmed,68.82,829,827,0.146422,4.256625,-0.152351,4.432992
Kv_tufA_trimmed,74.15,803,801,0.009780,0.276795,-0.270286,7.945330
Kv_ycf3_trimmed,100.00,706,704,-0.449579,13.354384,0.422270,12.360129
Kv_ycf4_trimmed,77.33,404,402,-0.009323,0.186927,-0.012500,0.250647
