name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Kv_atpA_trimmed,74.37,627,625,-0.327781,8.673720,-0.406772,11.131891
Kv_atpB_trimmed,72.81,342,340,-0.694508,17.798956,-0.785922,23.436974
Kv_petB_trimmed,52.01,369,367,-0.458834,9.892824,-0.909015,41.784445
Kv_petD_trimmed,67.46,253,251,-0.519522,9.632746,-0.848601,25.413131
Kv_psaB_trimmed,88.39,308,306,-0.559339,11.803559,-0.295870,5.418203
Kv_psbA_trimmed,100.00,720,718,-0.048551,1.302473,-0.155501,4.218050
Kv_psbB_trimmed,66.14,985,983,0.064700,2.032803,-0.305309,10.052274
Kv_psbC_trimmed,100.00,539,537,-0.195846,4.628004,-0.224722,5.344223
Kv_psbD_trimmed,49.81,234,232,-0.006283,0.095708,-0.183847,2.848832
Kv_psbE_trimmed,56.86,135,133,0.463686,6.035544,0.332450,4.065221
Kv_psbI_trimmed,70.00,45,43,-0.028979,0.190110,0.603331,4.960947
