gene,number nucleotide edits,number AA edits,average number sim AA edits,average edit score,average sim edit score,frequency of significant editing,

Pl_atpA,61,47,49.45,0.96,-2.14,1.00
Pl_atpB,150,61,89.27,1.44,-2.53,1.00
Pl_petB,35,26,27.25,1.85,-3.34,1.00
Pl_petD,31,23,24.40,2.39,-2.30,1.00
Pl_psaA,149,120,123.69,1.45,-2.55,1.00
Pl_psaB,139,103,112.01,1.63,-2.70,1.00
Pl_psbA,36,23,23.34,2.22,-3.81,1.00
Pl_psbB,83,62,69.06,1.77,-2.77,1.00
Pl_psbC,39,36,35.22,1.31,-3.50,1.00
Pl_psbD,20,16,17.77,1.75,-4.23,1.00
Pl_psbE,4,3,2.38,1.00,-1.77,0.17
