name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Ht_atpA_trimmed,100.00,1333,1331,-0.219851,8.221944,-0.481385,20.036660
Ht_petB_trimmed,100.00,594,592,0.229407,5.734662,0.357768,9.321888
Ht_petD_trimmed,100.00,427,425,-0.134815,2.804891,-0.358791,7.924293
Ht_psaA_trimmed,100.00,1888,1886,0.055158,2.399061,0.047777,2.077229
Ht_psaB_trimmed,0.00,1840,1838,0.000000,0.000000,0.000000,0.000000
Ht_psbA_trimmed,0.00,873,871,0.000000,0.000000,0.000000,0.000000
Ht_psbB_trimmed,0.00,1390,1388,0.000000,0.000000,0.000000,0.000000
Ht_psbC_trimmed,100.00,1329,1327,-0.326669,12.590658,-0.291061,11.082585
Ht_psbD_trimmed,100.00,1005,1003,-0.357812,12.135400,-0.147606,4.726468
Ht_psbE_trimmed,100.00,186,184,0.186462,2.574445,-0.059520,0.808808
