,alignment position,genomic position,edited or not,positional entropy,average score difference
Sm_atpA,1,1,0,0.90,0
Sm_atpA,2,2,0,0.58,0
Sm_atpA,3,3,0,0.55,0
Sm_atpA,4,4,0,0.61,0
Sm_atpA,5,5,0,0.67,0
Sm_atpA,27,8,0,0.56,0
Sm_atpA,28,9,0,0.44,0
Sm_atpA,29,10,0,0.62,0
Sm_atpA,30,11,0,0.58,0
Sm_atpA,31,12,0,0.95,0
Sm_atpA,32,13,0,0.81,0
Sm_atpA,33,14,0,0.95,0
Sm_atpA,34,15,0,0.73,0
Sm_atpA,35,16,0,0.92,0
Sm_atpA,36,17,1,0.76,3.80
Sm_atpA,37,18,0,0.97,0
Sm_atpA,38,19,1,0.92,-0.17
Sm_atpA,39,20,0,0.95,0
Sm_atpA,40,21,0,0.95,0
Sm_atpA,41,22,0,0.95,0
Sm_atpA,42,23,0,0.90,0
Sm_atpA,43,24,0,0.87,0
Sm_atpA,44,25,0,0.90,0
Sm_atpA,45,26,0,1.00,0
Sm_atpA,46,27,0,0.95,0
Sm_atpA,47,28,0,0.58,0
Sm_atpA,48,29,1,0.47,1.53
Sm_atpA,49,30,0,0.82,0
Sm_atpA,50,31,0,0.87,0
Sm_atpA,51,32,0,0.72,0
Sm_atpA,52,33,0,0.95,0
Sm_atpA,53,34,0,0.95,0
Sm_atpA,54,35,0,0.89,0
Sm_atpA,55,36,0,0.79,0
Sm_atpA,56,37,0,0.82,0
Sm_atpA,57,38,0,0.97,0
Sm_atpA,63,39,0,0.65,0
Sm_atpA,64,40,0,0.76,0
Sm_atpA,67,41,1,0.49,3.37
Sm_atpA,68,42,0,0.90,0
Sm_atpA,69,43,0,0.71,0
Sm_atpA,70,44,0,0.95,0
Sm_atpA,71,45,0,0.84,0
Sm_atpA,72,46,0,0.97,0
Sm_atpA,73,47,0,0.97,0
Sm_atpA,74,48,0,0.97,0
Sm_atpA,75,49,0,0.97,0
Sm_atpA,76,50,0,0.97,0
Sm_atpA,77,51,1,0.52,-0.40
Sm_atpA,78,52,1,0.72,3.23
Sm_atpA,79,53,0,0.87,0
