name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Ht_atpA_trimmed,100.00,1341,1339,-0.318197,12.281953,-0.387666,15.389045
Ht_petB_trimmed,100.00,234,232,0.389578,6.442908,0.425821,7.168271
Ht_petD_trimmed,100.00,424,422,-0.263359,5.608059,-0.376603,8.351296
Ht_psaA_trimmed,100.00,1864,1862,-0.063552,2.747859,-0.202798,8.936625
Ht_psaB_trimmed,100.00,1900,1898,0.179398,7.944567,0.071413,3.119148
Ht_psbA_trimmed,100.00,879,877,-0.012788,0.378731,-0.015342,0.454399
Ht_psbB_trimmed,0.00,1394,1392,0.000000,0.000000,0.000000,0.000000
Ht_psbC_trimmed,100.00,1322,1320,-0.197822,7.332127,-0.014767,0.536583
Ht_psbD_trimmed,100.00,1020,1018,0.106970,3.432701,0.019689,0.628325
Ht_psbE_trimmed,100.00,196,194,-0.523960,8.568221,-0.030841,0.429771
