name,percent above average edits,number obs,DF (N-2),nucleotide pearson correlation,nucleotide t value,amino acid pearson correlation,amino acid t value

Kv_atpA_trimmed,74.37,627,625,-0.327781,8.673720,-0.406772,11.131891
Kv_atpB_trimmed,72.81,342,340,-0.694508,17.798956,-0.785922,23.436974
Kv_petB_trimmed,52.01,369,367,-0.458834,9.892824,-0.909015,41.784445
Kv_petD_trimmed,67.46,253,251,-0.519522,9.632746,-0.848601,25.413131
Kv_psaB_trimmed,88.39,308,306,-0.559339,11.803559,-0.295870,5.418203
Kv_psbA_trimmed,100.00,720,718,-0.505030,15.678964,-0.507443,15.779767
Kv_psbB_trimmed,71.28,985,983,0.091858,2.892234,-0.218308,7.013740
Kv_psbC_trimmed,100.00,539,537,-0.264181,6.347438,-0.227740,5.419909
Kv_psbD_trimmed,61.14,234,232,-0.246641,3.876485,-0.079892,1.220788
Kv_psbE_trimmed,56.86,135,133,0.463686,6.035544,0.332450,4.065221
Kv_psbI_trimmed,64.08,45,43,0.025033,0.164204,0.633063,5.362710
