,gene,num AA changes,num identical before,num identical after,num similar before,num similar after,avgerage edit score diff
Ht_Ac,atpA,3.0,0,0,0,0,0.67
Ht_Ac,petB,1.0,0,0,0,0,1.00
Ht_Ac,petD,5.0,0,2,2,3,1.20
Ht_Ac,psaB,0.0,0,0,0,0,0.00
Ht_Ac,psbA,0.0,0,0,0,0,0.00
Ht_Ac,psbB,0.0,0,0,0,0,0.00
Ht_Ac,psbC,3.0,0,1,2,2,0.33
Ht_Ac,psbD,2.0,0,1,0,2,3.00
Ht_Ac,psbE,2.0,0,2,1,2,5.00
Ht_Ct,atpA,5.0,0,0,1,2,1.60
Ht_Ct,petB,1.0,1,0,1,0,-4.00
Ht_Ct,petD,5.0,1,3,3,5,3.00
Ht_Ct,psaA,0.0,0,0,0,0,0.00
Ht_Ct,psaB,0.0,0,0,0,0,0.00
Ht_Ct,psbA,0.0,0,0,0,0,0.00
Ht_Ct,psbB,0.0,0,0,0,0,0.00
Ht_Ct,psbC,3.0,0,0,0,1,1.67
Ht_Ct,psbD,2.0,0,1,0,2,3.00
Ht_Ct,psbE,2.0,0,1,0,1,3.50
Ht_Eh,atpA,5.0,0,1,1,3,2.40
Ht_Eh,petB,1.0,1,0,1,0,-4.00
Ht_Eh,petD,5.0,1,3,3,5,3.00
Ht_Eh,psaA,0.0,0,0,0,0,0.00
Ht_Eh,psaB,0.0,0,0,0,0,0.00
Ht_Eh,psbA,0.0,0,0,0,0,0.00
Ht_Eh,psbB,0.0,0,0,0,0,0.00
Ht_Eh,psbC,3.0,0,1,1,2,1.67
Ht_Eh,psbD,2.0,0,1,0,2,3.00
Ht_Eh,psbE,2.0,0,1,0,1,3.50
Ht_Pt,atpA,5.0,1,0,2,1,-0.40
Ht_Pt,petB,1.0,1,0,1,0,-4.00
Ht_Pt,petD,5.0,2,1,3,4,0.80
Ht_Pt,psaA,0.0,0,0,0,0,0.00
Ht_Pt,psaB,0.0,0,0,0,0,0.00
Ht_Pt,psbA,0.0,0,0,0,0,0.00
Ht_Pt,psbB,0.0,0,0,0,0,0.00
Ht_Pt,psbC,3.0,0,0,0,1,1.67
Ht_Pt,psbD,2.0,0,1,0,2,3.00
Ht_Pt,psbE,1.0,0,1,0,1,6.00
Ht_Vb,atpA,5.0,0,0,1,1,0.40
Ht_Vb,petB,1.0,0,0,1,0,-4.00
Ht_Vb,petD,5.0,1,2,3,4,1.40
Ht_Vb,psaA,0.0,0,0,0,0,0.00
Ht_Vb,psaB,0.0,0,0,0,0,0.00
Ht_Vb,psbA,0.0,0,0,0,0,0.00
Ht_Vb,psbB,0.0,0,0,0,0,0.00
Ht_Vb,psbC,3.0,1,0,2,3,1.00
Ht_Vb,psbD,2.0,0,1,0,2,3.00
Ht_Vb,psbE,2.0,0,1,0,1,3.50
