,alignment position,genomic position,edited or not,positional entropy,average score difference
Km_atpA,64,1,0,0.76,0
Km_atpA,286,2,1,1.00,4.00
Km_atpA,287,3,0,1.00,0
Km_atpA,288,4,0,1.00,0
Km_atpA,289,5,0,0.87,0
Km_atpA,290,6,0,0.92,0
Km_atpA,291,7,0,1.00,0
Km_atpA,292,8,0,1.00,0
Km_atpA,293,9,1,0.95,1.00
Km_atpA,294,10,0,1.00,0
Km_atpA,295,11,0,0.92,0
Km_atpA,296,12,0,1.00,0
Km_atpA,297,13,1,1.00,8.00
Km_atpA,298,14,0,1.00,0
Km_atpA,299,15,0,1.00,0
Km_atpA,300,16,0,1.00,0
Km_atpA,301,17,0,1.00,0
Km_atpA,302,18,0,1.00,0
Km_atpA,303,19,0,0.89,0
Km_atpA,304,20,0,0.95,0
Km_atpA,305,21,0,1.00,0
Km_atpA,306,22,0,1.00,0
Km_atpA,307,23,1,0.95,0.93
Km_atpA,308,24,0,1.00,0
Km_atpA,309,25,0,1.00,0
Km_atpA,310,26,0,0.95,0
Km_atpA,311,27,0,1.00,0
Km_atpA,312,28,1,1.00,1.00
Km_atpA,313,29,1,1.00,1.00
Km_atpA,314,30,0,1.00,0
Km_atpA,315,31,0,1.00,0
Km_atpA,316,32,0,1.00,0
Km_atpA,317,33,0,1.00,0
Km_atpA,318,34,0,0.95,0
Km_atpA,319,35,0,1.00,0
Km_atpA,322,38,0,1.00,0
Km_atpA,323,39,1,1.00,-1.00
Km_atpA,324,40,0,0.73,0
Km_atpA,325,41,0,0.42,0
Km_atpA,326,42,0,0.31,0
Km_atpA,327,43,0,0.81,0
Km_atpA,328,44,0,1.00,0
Km_atpA,332,48,0,0.76,0
Km_atpA,333,49,0,1.00,0
Km_atpA,334,50,0,0.95,0
Km_atpA,335,51,1,0.95,-0.03
Km_atpA,336,52,0,1.00,0
Km_atpA,337,53,0,1.00,0
Km_atpA,338,54,1,0.95,1.93
Km_atpA,339,55,0,1.00,0
Km_atpA,340,56,0,0.89,0
Km_atpA,341,57,0,0.82,0
